AIQ,aiq@gmail.com,M,081243263596
ADMIN,admin@gmail.com,M,081234567891
DINI,dini@gmail.com,F,081212341234
ZI,zi@gmail.com,M,081212341234
ALICIA,alicia@gmail.com,M,081212341234
DEVINCA,dev@gmail.com,F,081212341234
KEVIN,kevin@gmail.com,M,082345234523
PAULUS,paulus@gmail.com,M,089999992222
CARL WAWI,wawi@gmail.com,M,082323452345
ZAFIRAH,safirah@gmail.com,F,081212341234
BASITA,basita@gmail.com,F,081234123412
BAMBANG,bambang@gmail.com,M,081212121212
SAMUEL,samuel@gmail.com,M,081234123498
ELISA,elisa@gmail.com,F,123456789009
ERIKA,erika@gmail.com,F,123456789009
REYHAN,reyhan@gmail.com,M,082298950701
REYHAN,reyhan@gmail.com,M,123456789009
TEST,test@gmail.com,F,123456789099
